net,length_um
net3,40.1µm
net2,38.12µm
net1,26.98µm
clknet_1_1__leaf_clk,19.66µm
net4,16.86µm
clk,16.37µm
_08_,13.04µm
rst,10.41µm
clknet_0_clk,9.84µm
_01_,9.665µm
out[2],9.42µm
net6,8.94µm
clknet_1_0__leaf_clk,8.74µm
net5,8.7µm
net8,8.62µm
out[3],8.5µm
_09_,8.32µm
_02_,8.28µm
out[0],7.79µm
_04_,7.52µm
_00_,6.76µm
out[1],4.61µm
_05_,4.08µm
net7,3.68µm
_06_,2.67µm
_03_,2.62µm
_07_,2.28µm
net9,0.46µm
