net,length_um
net6,39.38µm
net5,24.38µm
net1,23.76µm
clk,21.93µm
clknet_0_clk,17.7µm
next_state\[1\],11.92µm
busy,10.32µm
done,10.32µm
net2,9.82µm
net8,8.22µm
net3,7.78µm
net4,6.18µm
start,5.29µm
state_out[0],5.07µm
state_out[1],5.07µm
next_state\[0\],5µm
rst,4.95µm
net9,4.48µm
net7,4µm
_1_,2.96µm
_0_,2.69µm
clknet_1_1__leaf_clk,2.16µm
clknet_1_0__leaf_clk,1.7µm
