Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_6_109,VGND,li1,56.5800,27.2000,0.000000
FILLER_6_97,VGND,li1,52.9000,27.2000,0.000000
FILLER_6_85,VGND,li1,47.3800,27.2000,0.000000
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000000
FILLER_6_77,VGND,li1,42.3200,27.2000,0.000000
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000000
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000000
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000000
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000000
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000000
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000000
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000000
FILLER_5_113,VGND,li1,57.7300,27.2000,0.000000
FILLER_5_111,VGND,li1,56.8100,27.2000,0.000000
FILLER_5_105,VGND,li1,55.2000,27.2000,0.000000
FILLER_5_93,VGND,li1,51.0600,27.2000,0.000000
FILLER_5_81,VGND,li1,45.5400,27.2000,0.000000
FILLER_5_69,VGND,li1,40.0200,27.2000,0.000000
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000000
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000000
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000000
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000000
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000000
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000000
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000000
FILLER_4_113,VGND,li1,57.7300,21.7600,0.000000
FILLER_4_109,VGND,li1,56.5800,21.7600,0.000000
FILLER_4_97,VGND,li1,52.9000,21.7600,0.000000
FILLER_4_85,VGND,li1,47.3800,21.7600,0.000000
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000000
FILLER_4_77,VGND,li1,42.3200,21.7600,0.000000
FILLER_4_65,VGND,li1,38.1800,21.7600,0.000000
FILLER_4_53,VGND,li1,32.6600,21.7600,0.000000
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000000
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000000
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000000
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000000
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000000
FILLER_3_113,VGND,li1,57.7300,21.7600,0.000000
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000000
FILLER_3_105,VGND,li1,55.2000,21.7600,0.000000
FILLER_3_93,VGND,li1,51.0600,21.7600,0.000000
FILLER_3_81,VGND,li1,45.5400,21.7600,0.000000
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000000
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000000
