Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_6_Right_6,VGND,li1,34.7300,27.2000,0.000001
PHY_EDGE_ROW_5_Right_5,VGND,li1,34.7300,27.2000,0.000001
PHY_EDGE_ROW_4_Right_4,VGND,li1,34.7300,21.7600,0.000081
PHY_EDGE_ROW_3_Right_3,VGND,li1,34.7300,21.7600,0.000081
PHY_EDGE_ROW_2_Right_2,VGND,li1,34.7300,16.3200,0.000039
PHY_EDGE_ROW_1_Right_1,VGND,li1,34.7300,16.3200,0.000039
PHY_EDGE_ROW_0_Right_0,VGND,li1,34.7300,10.8800,0.000000
_23_,VGND,li1,23.0000,16.3200,0.000047
_22_,VGND,li1,12.4200,16.3200,0.000084
_21_,VGND,li1,23.4600,21.7600,0.000072
_20_,VGND,li1,11.5000,21.7600,0.000101
_19_,VGND,li1,24.6100,16.3200,0.000047
_18_,VGND,li1,16.7900,16.3200,0.000067
_17_,VGND,li1,23.2300,16.3200,0.000047
_16_,VGND,li1,20.4700,10.8800,0.000000
_15_,VGND,li1,17.7100,16.3200,0.000067
_14_,VGND,li1,20.0100,16.3200,0.000061
_13_,VGND,li1,8.2800,21.7600,0.000101
_12_,VGND,li1,11.2700,27.2000,0.000002
_11_,VGND,li1,11.2700,27.2000,0.000002
_10_,VGND,li1,13.5700,27.2000,0.000002
