Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_107,VGND,li1,55.4300,48.9600,0.000027
FILLER_14_95,VGND,li1,51.9800,48.9600,0.000026
FILLER_14_80,VGND,li1,42.5500,48.9600,0.000022
FILLER_14_71,VGND,li1,38.6400,48.9600,0.000020
FILLER_14_51,VGND,li1,29.2100,48.9600,0.000013
FILLER_14_45,VGND,li1,27.6000,48.9600,0.000013
FILLER_14_24,VGND,li1,16.7900,48.9600,0.000013
FILLER_14_20,VGND,li1,15.6400,48.9600,0.000013
FILLER_14_8,VGND,li1,11.9600,48.9600,0.000013
FILLER_13_137,VGND,li1,69.0000,48.9600,0.000031
FILLER_13_113,VGND,li1,59.3400,48.9600,0.000029
FILLER_13_100,VGND,li1,54.2800,48.9600,0.000027
FILLER_13_88,VGND,li1,48.7600,48.9600,0.000024
FILLER_13_76,VGND,li1,43.2400,48.9600,0.000022
FILLER_13_64,VGND,li1,37.7200,48.9600,0.000018
FILLER_13_57,VGND,li1,32.4300,48.9600,0.000016
FILLER_13_53,VGND,li1,30.5900,48.9600,0.000015
FILLER_13_47,VGND,li1,27.8300,48.9600,0.000013
FILLER_13_35,VGND,li1,24.3800,48.9600,0.000011
FILLER_13_31,VGND,li1,20.0100,48.9600,0.000012
FILLER_13_27,VGND,li1,18.8600,48.9600,0.000012
FILLER_13_15,VGND,li1,15.1800,48.9600,0.000013
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000013
FILLER_12_135,VGND,li1,68.5400,43.5200,0.000214
FILLER_12_125,VGND,li1,63.4800,43.5200,0.000214
FILLER_12_113,VGND,li1,60.2600,43.5200,0.000214
FILLER_12_85,VGND,li1,46.4600,43.5200,0.000197
FILLER_12_61,VGND,li1,33.8100,43.5200,0.000145
FILLER_12_57,VGND,li1,32.6600,43.5200,0.000132
FILLER_12_29,VGND,li1,19.3200,43.5200,0.000092
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000092
FILLER_12_23,VGND,li1,17.0200,43.5200,0.000093
FILLER_12_8,VGND,li1,9.8900,43.5200,0.000094
FILLER_11_130,VGND,li1,65.5500,43.5200,0.000214
FILLER_11_126,VGND,li1,64.4000,43.5200,0.000214
FILLER_11_113,VGND,li1,59.3400,43.5200,0.000214
FILLER_11_110,VGND,li1,56.5800,43.5200,0.000214
FILLER_11_102,VGND,li1,54.2800,43.5200,0.000214
FILLER_11_92,VGND,li1,48.0700,43.5200,0.000197
FILLER_11_84,VGND,li1,46.0000,43.5200,0.000190
FILLER_11_72,VGND,li1,41.4000,43.5200,0.000180
FILLER_11_60,VGND,li1,35.8800,43.5200,0.000156
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000120
FILLER_11_22,VGND,li1,16.1000,43.5200,0.000093
FILLER_10_105,VGND,li1,54.2800,38.0800,0.000049
FILLER_10_85,VGND,li1,46.4600,38.0800,0.000044
FILLER_10_80,VGND,li1,43.2400,38.0800,0.000039
FILLER_10_74,VGND,li1,39.7900,38.0800,0.000037
FILLER_10_70,VGND,li1,38.6400,38.0800,0.000034
FILLER_10_51,VGND,li1,29.6700,38.0800,0.000025
FILLER_10_41,VGND,li1,24.6100,38.0800,0.000021
FILLER_10_29,VGND,li1,19.0900,38.0800,0.000024
FILLER_10_3,VGND,li1,7.1300,38.0800,0.000029
FILLER_9_132,VGND,li1,66.9300,38.0800,0.000056
FILLER_9_121,VGND,li1,61.6400,38.0800,0.000055
FILLER_9_113,VGND,li1,59.3400,38.0800,0.000054
FILLER_9_111,VGND,li1,56.8100,38.0800,0.000053
FILLER_9_103,VGND,li1,54.7400,38.0800,0.000051
FILLER_9_61,VGND,li1,34.5000,38.0800,0.000031
FILLER_9_57,VGND,li1,31.9700,38.0800,0.000028
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000025
FILLER_9_47,VGND,li1,27.8300,38.0800,0.000023
FILLER_9_35,VGND,li1,24.3800,38.0800,0.000021
FILLER_9_30,VGND,li1,19.7800,38.0800,0.000024
FILLER_9_22,VGND,li1,17.4800,38.0800,0.000025
FILLER_8_133,VGND,li1,68.0800,32.6400,0.000014
FILLER_8_121,VGND,li1,63.9400,32.6400,0.000014
FILLER_8_109,VGND,li1,58.4200,32.6400,0.000014
FILLER_8_97,VGND,li1,52.9000,32.6400,0.000014
FILLER_8_80,VGND,li1,43.2400,32.6400,0.000013
FILLER_8_71,VGND,li1,38.8700,32.6400,0.000012
FILLER_8_64,VGND,li1,35.1900,32.6400,0.000011
FILLER_8_56,VGND,li1,33.1200,32.6400,0.000010
FILLER_8_52,VGND,li1,29.6700,32.6400,0.000008
FILLER_8_44,VGND,li1,27.6000,32.6400,0.000008
FILLER_8_32,VGND,li1,23.0000,32.6400,0.000007
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000009
FILLER_7_137,VGND,li1,69.0000,32.6400,0.000014
FILLER_7_125,VGND,li1,65.7800,32.6400,0.000014
FILLER_7_113,VGND,li1,60.2600,32.6400,0.000014
FILLER_7_109,VGND,li1,56.3500,32.6400,0.000014
FILLER_7_97,VGND,li1,52.9000,32.6400,0.000014
FILLER_7_75,VGND,li1,42.7800,32.6400,0.000013
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000010
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000009
FILLER_7_45,VGND,li1,26.9100,32.6400,0.000008
FILLER_7_33,VGND,li1,23.4600,32.6400,0.000007
FILLER_7_8,VGND,li1,9.8900,32.6400,0.000010
FILLER_6_137,VGND,li1,69.0000,27.2000,0.000030
FILLER_6_114,VGND,li1,58.4200,27.2000,0.000028
FILLER_6_102,VGND,li1,55.2000,27.2000,0.000026
FILLER_6_90,VGND,li1,49.6800,27.2000,0.000024
FILLER_6_85,VGND,li1,45.0800,27.2000,0.000022
FILLER_6_78,VGND,li1,42.7800,27.2000,0.000021
FILLER_6_66,VGND,li1,38.6400,27.2000,0.000018
FILLER_6_60,VGND,li1,33.3500,27.2000,0.000016
FILLER_6_52,VGND,li1,31.2800,27.2000,0.000014
FILLER_6_41,VGND,li1,26.2200,27.2000,0.000011
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000011
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000012
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000012
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000013
FILLER_5_121,VGND,li1,61.4100,27.2000,0.000029
FILLER_5_113,VGND,li1,59.3400,27.2000,0.000028
FILLER_5_109,VGND,li1,56.3500,27.2000,0.000027
FILLER_5_101,VGND,li1,53.8200,27.2000,0.000026
FILLER_5_79,VGND,li1,42.0900,27.2000,0.000021
FILLER_5_71,VGND,li1,40.0200,27.2000,0.000020
FILLER_5_57,VGND,li1,32.6600,27.2000,0.000016
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000014
FILLER_5_35,VGND,li1,22.5400,27.2000,0.000011
FILLER_5_11,VGND,li1,10.8100,27.2000,0.000013
FILLER_5_7,VGND,li1,9.6600,27.2000,0.000013
FILLER_4_134,VGND,li1,67.3900,21.7600,0.000067
FILLER_4_122,VGND,li1,64.4000,21.7600,0.000067
FILLER_4_118,VGND,li1,60.0300,21.7600,0.000067
FILLER_4_85,VGND,li1,44.8500,21.7600,0.000054
FILLER_4_76,VGND,li1,41.1700,21.7600,0.000048
FILLER_4_64,VGND,li1,37.7200,21.7600,0.000042
FILLER_4_55,VGND,li1,31.5100,21.7600,0.000032
FILLER_4_38,VGND,li1,23.2300,21.7600,0.000025
FILLER_4_34,VGND,li1,21.3900,21.7600,0.000026
FILLER_4_15,VGND,li1,12.8800,21.7600,0.000028
FILLER_4_7,VGND,li1,9.2000,21.7600,0.000028
FILLER_3_137,VGND,li1,69.0000,21.7600,0.000067
FILLER_3_87,VGND,li1,46.4600,21.7600,0.000054
FILLER_3_75,VGND,li1,40.7100,21.7600,0.000048
FILLER_3_57,VGND,li1,32.6600,21.7600,0.000036
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000032
FILLER_3_50,VGND,li1,28.7500,21.7600,0.000028
FILLER_3_42,VGND,li1,26.6800,21.7600,0.000024
FILLER_3_3,VGND,li1,7.1300,21.7600,0.000029
FILLER_2_132,VGND,li1,66.9300,16.3200,0.000015
FILLER_2_124,VGND,li1,64.4000,16.3200,0.000015
FILLER_2_109,VGND,li1,57.0400,16.3200,0.000015
FILLER_2_97,VGND,li1,52.9000,16.3200,0.000015
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000015
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000015
FILLER_2_69,VGND,li1,38.1800,16.3200,0.000014
FILLER_2_32,VGND,li1,21.1600,16.3200,0.000013
FILLER_2_11,VGND,li1,10.8100,16.3200,0.000016
FILLER_2_3,VGND,li1,8.7400,16.3200,0.000016
FILLER_1_137,VGND,li1,69.0000,16.3200,0.000015
FILLER_1_125,VGND,li1,65.7800,16.3200,0.000015
